trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
4275070,1,4,"TRIANGLE TOWN CENTER",,0,2807,shp-1-52,0,0
886050,1,3,"TRIANGLE TOWN CENTER",,0,805,shp-1-52,0,0
1144050,1,3,"TRIANGLE TOWN CENTER",,0,705,shp-1-52,0,0
3048020,1,1,"TRIANGLE TOWN CENTER",,0,2102,shp-1-52,0,0
1723050,1,3,"TRIANGLE TOWN CENTER",,0,4505,shp-1-52,0,0
1496010,1,2,"TRIANGLE TOWN CENTER",,0,6201,shp-1-52,0,0
1433070,1,4,"TRIANGLE TOWN CENTER",,0,2607,shp-1-52,0,0
1198070,1,4,"TRIANGLE TOWN CENTER",,0,2907,shp-1-52,0,0
1144020,1,1,"TRIANGLE TOWN CENTER",,0,702,shp-1-52,0,0
1100010,1,2,"TRIANGLE TOWN CENTER",,0,2201,shp-1-52,0,0
3225050,1,3,"TRIANGLE TOWN CENTER",,0,505,shp-1-52,0,0
1593010,1,2,"TRIANGLE TOWN CENTER",,0,2101,shp-1-52,0,0
758050,1,3,"TRIANGLE TOWN CENTER",,0,1705,shp-1-52,0,0
1867050,1,3,"TRIANGLE TOWN CENTER",,0,8005,shp-1-52,0,0
3285010,1,2,"TRIANGLE TOWN CENTER",,0,5901,shp-1-52,0,0
3633070,1,4,"TRIANGLE TOWN CENTER",,0,4407,shp-1-52,0,0
292020,1,1,"TRIANGLE TOWN CENTER",,0,902,shp-1-52,0,0
4932010,1,2,"TRIANGLE TOWN CENTER",,0,5901,shp-1-52,0,0
1430070,1,4,"TRIANGLE TOWN CENTER",,0,6607,shp-1-52,0,0
3140020,1,1,"TRIANGLE TOWN CENTER",,0,1302,shp-1-52,0,0
3710050,1,3,"TRIANGLE TOWN CENTER",,0,2605,shp-1-52,0,0
3409010,1,2,"TRIANGLE TOWN CENTER",,0,2101,shp-1-52,0,0
2041050,1,3,"TRIANGLE TOWN CENTER",,0,2305,shp-1-52,0,0
515020,1,1,"TRIANGLE TOWN CENTER",,0,2102,shp-1-52,0,0
723050,1,3,"TRIANGLE TOWN CENTER",,0,505,shp-1-52,0,0
2773020,1,1,"TRIANGLE TOWN CENTER",,0,2702,shp-1-52,0,0
2202020,1,1,"TRIANGLE TOWN CENTER",,0,1102,shp-1-52,0,0
1663010,1,2,"TRIANGLE TOWN CENTER",,0,5801,shp-1-52,0,0
363010,1,2,"TRIANGLE TOWN CENTER",,0,2201,shp-1-52,0,0
886020,1,1,"TRIANGLE TOWN CENTER",,0,802,shp-1-52,0,0
1096020,1,1,"TRIANGLE TOWN CENTER",,0,2302,shp-1-52,0,0
5429020,1,1,"TRIANGLE TOWN CENTER",,0,8002,shp-1-52,0,0
4545010,1,2,"TRIANGLE TOWN CENTER",,0,2101,shp-1-52,0,0
1579010,1,2,"TRIANGLE TOWN CENTER",,0,2201,shp-1-52,0,0
5041020,1,1,"TRIANGLE TOWN CENTER",,0,2502,shp-1-52,0,0
829020,1,1,"TRIANGLE TOWN CENTER",,0,2202,shp-1-52,0,0
515050,1,3,"TRIANGLE TOWN CENTER",,0,2105,shp-1-52,0,0
3196050,1,3,"TRIANGLE TOWN CENTER",,0,1905,shp-1-52,0,0
4236050,1,3,"TRIANGLE TOWN CENTER",,0,2605,shp-1-52,0,0
2642020,1,1,"TRIANGLE TOWN CENTER",,0,502,shp-1-52,0,0
2746070,1,4,"TRIANGLE TOWN CENTER",,0,2807,shp-1-52,0,0
2566070,1,4,"TRIANGLE TOWN CENTER",,0,5507,shp-1-52,0,0
2166020,1,1,"TRIANGLE TOWN CENTER",,0,2202,shp-1-52,0,0
2555070,1,4,"TRIANGLE TOWN CENTER",,0,2907,shp-1-52,0,0
924020,1,1,"TRIANGLE TOWN CENTER",,0,1002,shp-1-52,0,0
723020,1,1,"TRIANGLE TOWN CENTER",,0,502,shp-1-52,0,0
3840020,1,1,"TRIANGLE TOWN CENTER",,0,2402,shp-1-52,0,0
1038050,1,3,"TRIANGLE TOWN CENTER",,0,1705,shp-1-52,0,0
323070,1,4,"TRIANGLE TOWN CENTER",,0,2907,shp-1-52,0,0
3406070,1,4,"TRIANGLE TOWN CENTER",,0,3207,shp-1-52,0,0
5429050,1,3,"TRIANGLE TOWN CENTER",,0,8005,shp-1-52,0,0
1373050,1,3,"TRIANGLE TOWN CENTER",,0,805,shp-1-52,0,0
3324070,1,4,"TRIANGLE TOWN CENTER",,0,6807,shp-1-52,0,0
5081050,1,3,"TRIANGLE TOWN CENTER",,0,6505,shp-1-52,0,0
990020,1,1,"TRIANGLE TOWN CENTER",,0,702,shp-1-52,0,0
38050,1,3,"TRIANGLE TOWN CENTER",,0,1805,shp-1-52,0,0
292050,1,3,"TRIANGLE TOWN CENTER",,0,905,shp-1-52,0,0
3840050,1,3,"TRIANGLE TOWN CENTER",,0,2405,shp-1-52,0,0
1330010,1,2,"TRIANGLE TOWN CENTER",,0,2101,shp-1-52,0,0
293010,1,2,"TRIANGLE TOWN CENTER",,0,4201,shp-1-52,0,0
5079020,1,1,"TRIANGLE TOWN CENTER",,0,2302,shp-1-52,0,0
955020,1,1,"TRIANGLE TOWN CENTER",,0,602,shp-1-52,0,0
990050,1,3,"TRIANGLE TOWN CENTER",,0,705,shp-1-52,0,0
3196020,1,1,"TRIANGLE TOWN CENTER",,0,1902,shp-1-52,0,0
5418020,1,1,"TRIANGLE TOWN CENTER",,0,1202,shp-1-52,0,0
1038020,1,1,"TRIANGLE TOWN CENTER",,0,1702,shp-1-52,0,0
3365020,1,1,"TRIANGLE TOWN CENTER",,0,8402,shp-1-52,0,0
4298070,1,4,"TRIANGLE TOWN CENTER",,0,5007,shp-1-52,0,0
3225020,1,1,"TRIANGLE TOWN CENTER",,0,502,shp-1-52,0,0
1614050,1,3,"TRIANGLE TOWN CENTER",,0,8005,shp-1-52,0,0
4797070,1,4,"TRIANGLE TOWN CENTER",,0,5707,shp-1-52,0,0
4355010,1,2,"TRIANGLE TOWN CENTER",,0,5601,shp-1-52,0,0
688020,1,1,"TRIANGLE TOWN CENTER",,0,8302,shp-1-52,0,0
38020,1,1,"TRIANGLE TOWN CENTER",,0,1802,shp-1-52,0,0
4974020,1,1,"TRIANGLE TOWN CENTER",,0,2602,shp-1-52,0,0
3064050,10,3,"CHATHAM LANE",,0,6705,shp-10-51,0,0
3523020,10,1,"CHATHAM LANE",,0,7602,shp-10-51,0,0
2737020,10,1,"CHATHAM LANE",,0,7402,shp-10-51,0,0
4143070,10,4,"CHATHAM LANE",,0,3707,shp-10-51,0,0
2631070,10,4,"CHATHAM LANE",,0,3707,shp-10-51,0,0
3902010,10,2,"CHATHAM LANE",,0,1801,shp-10-51,0,0
2795050,10,3,"CHATHAM LANE",,0,7605,shp-10-51,0,0
3570050,10,3,"CHATHAM LANE",,0,9305,shp-10-51,0,0
2945020,10,1,"CHATHAM LANE",,0,7502,shp-10-51,0,0
277050,10,3,"CHATHAM LANE",,0,8805,shp-10-51,0,0
996020,10,1,"CHATHAM LANE",,0,902,shp-10-51,0,0
4021070,10,4,"CHATHAM LANE",,0,3807,shp-10-51,0,0
2042010,10,2,"CHATHAM LANE",,0,1801,shp-10-51,0,0
3298070,10,4,"CHATHAM LANE",,0,3807,shp-10-51,0,0
2181020,10,1,"CHATHAM LANE",,0,7602,shp-10-51,0,0
