stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
283,8164,"Wake Forest Rd at Hodges St (SB)",,35.815488,-78.626266,,,,,,0
284,8165,"Wake Forest Rd at McNeil St",,35.813460,-78.626770,,,,,,0
285,8166,"McNeil St at Bernard St",,35.814256,-78.629003,,,,,,0
286,8167,"Noble Rd at McNeil St",,35.814360,-78.631710,,,,,,0
287,8168,"Noble Rd at Wayne Dr",,35.812510,-78.633170,,,,,,0
288,8169,"Noble Rd at North of Pine Dr",,35.810070,-78.635070,,,,,,0
289,8170,"Pine Dr at Whitaker Mill Rd",,35.807823,-78.636288,,,,,,0
290,8171,"Whitaker Mill Rd at Reeves Dr",,35.806920,-78.638380,,,,,,0
291,8172,"Whitaker Mill Rd at McCarthy St",,35.805609,-78.641484,,,,,,0
292,8173,"Whitaker Mill Rd at Fairview Rd (WB)",,35.804370,-78.645130,,,,,,0
293,8174,"Glenwood Ave at Glen Ave",,35.803209,-78.646102,,,,,,0
294,8175,"Glenwood Ave at Harvey St (SB)",,35.800945,-78.646154,,,,,,0
295,8176,"Glenwood Ave at Cole St (Raleigh Charter High Scho",,35.795870,-78.646488,,,,,,0
296,8177,"Glenwood Ave at Washington St (SB)",,35.792813,-78.646883,,,,,,0
297,8178,"Glenwood Ave at Wills Forest St (SB)",,35.791135,-78.647044,,,,,,0
298,8179,"Glenwood Ave at W Peace St",,35.789480,-78.647260,,,,,,0
299,8180,"Glenwood Ave at W Johnson St",,35.787013,-78.647258,,,,,,0
300,8181,"Edwards Mill Rd at Reedy Creek Rd (SB)",,35.814849,-78.715464,,,,,,0
301,8182,"Glenwood Ave at W Jones St",,35.782930,-78.647490,,,,,,0
302,8183,"Glenwood Ave at Willard Pl",,35.781821,-78.647582,,,,,,0
303,8184,"Glenwood Ave at W Morgan St",,35.779955,-78.648372,,,,,,0
304,8185,"W Morgan St at S Harrington St",,35.779731,-78.644524,,,,,,0
305,8186,"W Morgan St at S Dawson St",,35.779678,-78.642898,,,,,,0
306,8187,"E Morgan St at S Wilmington St",,35.779508,-78.637290,,,,,,0
307,8188,"E Morgan St at S Person St",,35.779990,-78.635050,,,,,,0
308,8189,"Edwards Mill Rd at Reedy Creek Rd (NB)",,35.815627,-78.714301,,,,,,0
309,8190,"Shoppes at Battle Bridge",,35.725020,-78.547960,,,,,,0
310,8191,"Rock Quarry Rd at Interlock Dr (SB)",,35.732595,-78.559854,,,,,,0
311,8192,"Glascock St at Clifton St",,35.793050,-78.627670,,,,,,0
312,8193,"Glascock St at Brookside Dr",,35.792910,-78.624660,,,,,,0
313,8194,"Glascock St at Raleigh Blvd",,35.792850,-78.613710,,,,,,0
314,8195,"Raleigh Blvd at Cantwell Ct",,35.794098,-78.612792,,,,,,0
315,8196,"Millbank St at Burgandy St",,35.796817,-78.609816,,,,,,0
316,8197,"Millbank St at Euston St",,35.797498,-78.606881,,,,,,0
